neg,neu,pos,compound,Headline,Date of Post
0.0,1.0,0.0,0.0,Understanding the District’s rising homicide count,"September 29, 2023"
0.0,1.0,0.0,0.0,"List of additional homicides in D.C. includes 2 infants, 88-year-old man","September 28, 2023"
0.394,0.606,0.0,-0.7579,PSA from the U.S. attorney in Maryland spotlights toll of gun violence,"September 28, 2023"
0.429,0.571,0.0,-0.6705,"2 men killed, three wounded in Northeast D.C.","September 28, 2023"
0.366,0.634,0.0,-0.6369,Montgomery to pay $9.7 million to settle Damascus sex assault claims,"September 27, 2023"
0.333,0.667,0.0,-0.6705,"Student, bystander killed in shootings as D.C. homicide total grows","September 27, 2023"
0.0,1.0,0.0,0.0,D.C. surpasses 200 homicides for the year at earliest point since 1997,"September 26, 2023"
0.121,0.879,0.0,-0.0258,Police say they thwarted a planned shooting at a Virginia church,"September 26, 2023"
0.344,0.656,0.0,-0.6369,"Teen, 16, fatally shot in Southeast Washington, police say","September 26, 2023"
0.451,0.549,0.0,-0.8126,Man arrested after dead woman found in tractor-trailer at Costco depot,"September 26, 2023"
0.383,0.617,0.0,-0.7351,"Truck driver who fatally struck diplomat on bike in Maryland fined $2,000","September 25, 2023"
